gene_id,cluster,Dmel,Dmel_gene,Dmel_function,nr,uni_sprot,Description,Preferred_name,PFAMs
Dnig.1LG0000820.1,4,FBpp0071846,RpS24,Ribosomal protein S24,QVD39455.1,sp|Q962Q6|RS24_SPOFR,Belongs to the eukaryotic ribosomal protein eS24 family,RPS24,Ribosomal_S24e
Dnig.1LG0000830.1,11,FBpp0080015,Sirt1,Sirtuin 1,PSN54664.1,sp|Q923E4|SIR1_MOUSE,NAD binding,SIRT1,SIR2
Dnig.1LG0000840.1,17,FBpp0089062,MRP,Multidrug-Resistance like Protein 1,CAD7456028.1,sp|Q9QYM0|MRP5_RAT,ABC transporter transmembrane region,ABCC5,"ABC_membrane,ABC_tran"
Dnig.1LG0000860.1,20,FBpp0076917,Hlc,Helicase,KAF5289485.1,sp|Q3SZ40|DDX56_BOVIN,ATP-dependent RNA helicase,DDX56,"DEAD,Helicase_C"
Dnig.1LG0001020.1,9,FBpp0086128,CG9646,No description,XP_021931948.1,sp|Q801S4|K0930_XENLA,Uncharacterized conserved protein (DUF2045),KIAA0930,DUF2045
Dnig.1LG0001030.1,7,FBpp0309237,CG30109,No description,AGM32124.1,sp|O43715|TRIA1_HUMAN,Uncharacterised protein family (UPF0203),TRIAP1,UPF0203
Dnig.1LG0001040.1,9,FBpp0293091,Root,Rootletin,GFG37478.1,sp|Q8CJ40|CROCC_MOUSE,"Ciliary rootlet component, centrosome cohesion",CROCC,Rootletin
Dnig.1LG0001150.1,7,,,,,,,,
Dnig.1LG0001190.1,9,FBpp0110443,CG17715,No description,XP_023710826.1,,Transmembrane protein 65,TMEM65,TMEM65
Dnig.1LG0001200.1,15,FBpp0082743,CSN5,COP9 signalosome subunit 5,GFG37090.1,sp|Q9XZ58|CSN5_DROME,Cop9 signalosome complex subunit,COPS5,JAB
Dnig.1LG0001210.1,14,FBpp0071231,AP-1gamma,"Adaptor Protein complex 1, gamma subunit",XP_023710834.1,sp|P22892|AP1G1_MOUSE,Protein transporter activity. It is involved in the biological process described with vesicle-mediated transport,-,"Adaptin_N,Alpha_adaptinC2"
Dnig.1LG0001220.1,7,FBpp0071229,Arfrp1,ADP-ribosylation factor related protein 1,XP_021934833.1,sp|Q32LJ2|ARFRP_BOVIN,"ARF-like small GTPases; ARF, ADP-ribosylation factor",ARFRP1,Arf
Dnig.1LG0001230.1,16,FBpp0110310,mRpL34,mitochondrial ribosomal protein L34,XP_003393015.1,sp|Q0E959|RM34_DROME,Ribosomal protein L34,-,Ribosomal_L34
Dnig.1LG0001260.1,15,FBpp0082645,ND-23,NADH dehydrogenase (ubiquinone) 23 kDa subunit,KAG8228255.1,sp|Q9VF27|NDUS8_DROME,It is involved in the biological process described with oxidation-reduction process,NDUFS8,Fer4
Dnig.1LG0001270.1,8,FBpp0306533,Tango5,Transport and Golgi organization 5,XP_021918860.1,sp|Q91ZQ0|VMP1_RAT,endoplasmic reticulum organization,VMP1,SNARE_assoc
Dnig.1LG0001280.1,6,FBpp0087124,Prp8,pre-mRNA processing factor 8,PNF36789.1,sp|Q99PV0|PRP8_MOUSE,"U5 snRNA binding. It is involved in the biological process described with mRNA splicing, via spliceosome",PRPF8,"JAB,PRO8NT,PROCN,PROCT,PRP8_domainIV,RRM_4,U5_2-snRNA_bdg,U6-snRNA_bdg"
Dnig.1LG0001300.1,13,FBpp0086051,P32,P32,XP_037810768.1,sp|Q3T0B6|C1QBP_BOVIN,Complement component 1 Q subcomponent-binding protein,C1QBP,MAM33
Dnig.1LG0001310.1,1,FBpp0306034,mthl10,methuselah-like 10,XP_023704570.1,sp|Q95NQ0|MTH2_DROSI,7 transmembrane receptor (Secretin family),-,"7tm_2,Methuselah_N"
Dnig.1LG0001350.1,10,FBpp0076185,aay,astray,XP_023704560.1,sp|Q2KHU0|SERB_BOVIN,Phosphoserine phosphatase activity. It is involved in the biological process described with L-serine biosynthetic process,PSPH,"HAD,Hydrolase"
Dnig.1LG0001360.1,10,,,,KAF4528449.1,sp|A8WGS4|TLCD2_DANRE,TLC domain,-,TRAM_LAG1_CLN8
Dnig.1LG0001380.1,17,FBpp0078927,CG11070,No description,GFG37087.1,sp|Q6P7A2|UBE4A_RAT,Ubiquitin-ubiquitin ligase activity. It is involved in the biological process described with ubiquitin-dependent protein catabolic process,UBE4A,"U-box,Ufd2P_core"
Dnig.1LG0001400.1,19,FBpp0305898,Tis11,Tis11 zinc finger protein,XP_021941938.1,sp|Q07352|TISB_HUMAN,Zinc finger C-x8-C-x5-C-x3-H type (and similar),ZFP36L2,"Tis11B_N,zf-CCCH"
Dnig.1LG0001460.1,2,,,,GFG35906.1,,,,
Dnig.1LG0001470.1,1,FBpp0070691,CG6903,No description,XP_023724380.1,sp|Q3UDW8|HGNAT_MOUSE,heparan-alpha-glucosaminide N-acetyltransferase activity,HGSNAT,"DUF1624,DUF5009"
Dnig.1LG0001480.1,2,FBpp0084848,Drice,Death related ICE-like caspase,ATX63067.1,sp|P89116|CASP1_SPOFR,Cysteine-type endopeptidase activity. It is involved in the biological process described with,CASP7,Peptidase_C14
Dnig.1LG0001490.1,8,FBpp0084043,CG31126,No description,XP_026755628.1,sp|Q86KD0|Y7416_DICDI,Belongs to the BolA IbaG family,BOLA1,BolA
Dnig.1LG0001500.1,10,FBpp0082435,CG7886,No description,CAD7457215.1,sp|Q9VFH6|CEP78_DROME,Centrosomal protein,CEP78,LRR_6
Dnig.1LG0001510.1,9,,,,XP_021941730.1,sp|Q9WVF8|TUSC2_MOUSE,Tumour suppressor candidate 2,TUSC2,TUSC2
Dnig.1LG0001540.1,17,FBpp0070209,AMPKalpha,AMP-activated protein kinase alpha subunit,XP_021922174.1,sp|F1QGZ6|MELK_DANRE,Kinase associated domain 1,MELK,"KA1,Pkinase"
Dnig.1LG0001550.1,19,FBpp0084800,CG2310,No description,CAD7575079.1,,-,-,-
Dnig.1LG0001560.1,20,FBpp0112504,Tim23,Translocase of inner mitochondrial membrane 23,CAD7399121.1,sp|Q5XH94|TIM23_XENTR,Mitochondrial import inner membrane translocase subunit,TIMM23,Tim17
Dnig.1LG0001570.1,18,FBpp0290035,RpIIIC160,RNA polymerase III subunit C160,XP_021920963.1,sp|Q5ZL98|RPC1_CHICK,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,POLR3A,"RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5"
Dnig.1LG0001580.1,5,,,,XP_023710858.1,,"ABC transporter, phosphonate, periplasmic substrate-binding protein",-,Phosphonate-bd
Dnig.1LG0001590.1,2,FBpp0307794,phr6-4,(6-4)-photolyase,CAD7394651.1,sp|Q49AN0|CRY2_HUMAN,DNA photolyase activity. It is involved in the biological process described with DNA repair,-,"DNA_photolyase,FAD_binding_7"
Dnig.1LG0001620.1,3,FBpp0086482,CG8204,No description,XP_023710868.1,sp|Q9CQK1|ZNHI3_MOUSE,Zinc finger HIT domain-containing protein,ZNHIT3,zf-HIT
Dnig.1LG0001630.1,11,FBpp0099475,CG15117,No description,GFG37070.1,sp|O18835|BGLR_CANLF,Plays an important role in the degradation of dermatan and keratan sulfates,GUSB,"Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N"
Dnig.1LG0001650.1,18,FBpp0082131,DNApol-theta,DNA polymerase theta,XP_019871265.1,sp|O75417|DPOLQ_HUMAN,DNA-directed DNA polymerase activity. It is involved in the biological process described with,POLQ,"DEAD,DNA_pol_A,Helicase_C"
Dnig.1LG0001660.1,3,FBpp0072468,Cdc5,Cell division cycle 5,XP_021920965.1,sp|O08837|CDC5L_RAT,DNA binding,CDC5L,"Myb_Cef,Myb_DNA-binding"
Dnig.1LG0001690.1,17,FBpp0074122,Nprl2,Nitrogen permease regulator-like 2,GFG28282.1,sp|Q9VXA0|NPRL2_DROME,Nitrogen permease regulator 2,NPRL2,NPR2
Dnig.1LG0001700.1,10,FBpp0306848,Mmp2,Matrix metalloproteinase 2,XP_021938958.1,sp|P51512|MMP16_HUMAN,Matrixin,MMP15,"DUF3377,Hemopexin,PG_binding_1,Peptidase_M10"
Dnig.1LG0001830.1,10,,,,,,,,
Dnig.1LG0001850.1,15,,,,,,,,
Dnig.1LG0001860.1,8,FBpp0305618,Ptpmeg2,Protein tyrosine phosphatase Meg2,QVD39462.1,sp|Q641Z2|PTN9_RAT,Tyrosine-protein phosphatase non-receptor type,-,"CRAL_TRIO,Y_phosphatase"
Dnig.1LG0001880.1,9,FBpp0075293,DCP2,Decapping protein 2,XP_023707404.1,sp|Q5REQ8|DCP2_PONAB,manganese ion binding,DCP2,"DCP2,NUDIX"
Dnig.1LG0001890.1,8,FBpp0087774,Vps25,Vacuolar protein sorting 25,QBH73048.1,sp|Q6AX45|VPS25_XENLA,ESCRT-II complex subunit,VPS25,ESCRT-II
Dnig.1LG0001920.1,18,FBpp0070808,Snx27,Sorting nexin 27,XP_023707428.1,sp|Q3UHD6|SNX27_MOUSE,phosphatidylinositol-3-phosphate binding. It is involved in the biological process described with,SNX27,"PDZ,PX,RA"
Dnig.1LG0001930.1,14,FBpp0071248,Dsor1,Downstream of raf1,XP_021919634.1,sp|Q24324|DSOR1_DROME,It is involved in the biological process described with protein phosphorylation,MAP2K1,Pkinase
Dnig.1LG0001940.1,3,FBpp0297151,ash1,"absent, small, or homeotic discs 1",XP_023718383.1,sp|Q99MY8|ASH1L_MOUSE,Histone-lysine N-methyltransferase,ASH1L,"BAH,Bromodomain,PHD,SET"
Dnig.1LG0001970.1,20,,,,XP_030020163.2,,,,
Dnig.1LG0002000.1,2,FBpp0081004,Mcm10,Minichromosome maintenance 10,XP_012254332.1,sp|Q9VIE6|MCM10_DROME,Mcm10 replication factor,MCM10,"Mcm10,zf-primase"
Dnig.1LG0002010.1,14,,,,,,,,
Dnig.1LG0002020.1,5,FBpp0085167,pygo,pygopus,CAD7203174.1,sp|Q9V9W8|PYGO_DROME,PHD zinc finger,PYGO2,PHD
Dnig.1LG0002100.1,12,FBpp0081027,Nbr,Nibbler,XP_023715831.1,sp|Q179T2|MUT7_AEDAE,It is involved in the biological process described with nucleobase-containing compound metabolic process,EXD3,"DNA_pol_A_exo1,Mut7-C"
Dnig.1LG0002110.1,8,,,,XP_023711053.1,sp|Q55EX9|Y8948_DICDI,Methyltransferase domain,-,Methyltransf_11
Dnig.1LG0002120.1,14,FBpp0303751,CG18507,No description,XP_023711042.1,,Domain of unknown function (DUF4481),-,DUF4481
Dnig.1LG0002130.1,12,FBpp0080720,Ttc19,Tetratricopeptide repeat domain 19,XP_023711049.1,sp|Q8SYD0|TTC19_DROME,Tetratricopeptide repeat protein 19 homolog,TTC19,"TPR_10,TPR_12,TPR_8"
Dnig.1LG0002140.1,6,,,,XP_026278840.1,,,,
Dnig.1LG0002150.1,5,FBpp0081207,CG10298,No description,XP_021929653.1,sp|Q8VIN1|PEBP2_MOUSE,Phosphatidylethanolamine-binding protein,-,PBP
Dnig.1LG0002170.1,10,FBpp0075398,CG7011,No description,KDR18365.1,sp|Q803I2|ERGI3_DANRE,Endoplasmic reticulum-Golgi intermediate compartment protein,ERGIC3,"COPIIcoated_ERV,ERGIC_N"
Dnig.1LG0002160.1,5,FBpp0077873,mTerf3,mitochondrial transcription termination factor 3,XP_044726968.1,sp|Q9VPD5|MTEF3_DROME,mTERF,MTERFD1,mTERF
Dnig.1LG0002180.1,6,FBpp0075396,CG6878,No description,XP_021921986.1,sp|A4QNF3|ROMO1_XENTR,Reactive mitochondrial oxygen species modulator 1,ROMO1,Romo1
Dnig.1LG0002210.1,16,FBpp0303102,CrzR,Corazonin receptor,GFG37882.1,sp|Q2V2K5|GNRHR_OCTVU,G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway,GPRGNR2,7tm_1
Dnig.1LG0002220.1,7,FBpp0301888,Gld2,GLD2 poly(A) polymerase,XP_023725886.1,sp|Q9VD44|GLD2A_DROME,Poly(A) RNA polymerase gld-2,PAPD4,"NTP_transf_2,PAP_assoc"
Dnig.1LG0002230.1,19,FBpp0309612,Upf1,Upf1 RNA helicase,XP_023725885.1,sp|Q9EPU0|RENT1_MOUSE,"It is involved in the biological process described with nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",UPF1,"AAA_11,AAA_12,ResIII,UPF1_Zn_bind"
Dnig.1LG0002240.1,17,FBpp0289067,CG42327,No description,PNF14639.1,sp|Q8BUM3|PTN7_MOUSE,Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation,-,Y_phosphatase
Dnig.1LG0002260.1,18,FBpp0089380,Nak,Numb-associated kinase,XP_021922190.1,sp|Q2M2I8|AAK1_HUMAN,ATP binding. It is involved in the biological process described with protein phosphorylation,BMP2K,"BMP2K_C,Pkinase"
Dnig.1LG0002270.1,2,FBpp0087775,Gle1,Gle1 RNA export mediator,XP_023710852.1,sp|Q8R322|GLE1_MOUSE,GLE1-like protein,GLE1,GLE1
Dnig.1LG0002280.1,18,FBpp0086380,clu,clueless,QVD39409.1,sp|Q17N71|CLU_AEDAE,mRNA-binding protein involved in proper cytoplasmic distribution of mitochondria,CLUH,"CLU,CLU_N,DUF727,TPR_10,TPR_12,eIF3_p135"
Dnig.1LG0002290.1,14,FBpp0086548,CG7544,No description,KAF4526319.1,sp|Q5ZIA0|MET16_CHICK,Belongs to the methyltransferase superfamily. METTL16 RlmF family,METTL16,Methyltransf_10
Dnig.1LG0002300.1,10,FBpp0086375,Lis-1,Lissencephaly-1,XP_023710822.1,sp|C3XVT5|LIS1_BRAFL,Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein- mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes,PAFAH1B1,"LisH,WD40"
Dnig.1LG0002310.1,3,FBpp0291674,CG8026,No description,XP_033609174.1,sp|Q6IZB5|MFTC_CRIGR,Belongs to the mitochondrial carrier (TC 2.A.29) family,SLC25A32,Mito_carr
Dnig.1LG0002330.1,18,FBpp0083452,Oga,O-GlcNAcase,XP_023724558.1,sp|O60502|OGA_HUMAN,beta-N-acetylglucosaminidase,MGEA5,NAGidase
Dnig.1LG0002360.1,12,FBpp0091081,His2A:CG33835,His2A:CG33835,PSN32053.1,sp|P27325|H2A_URECA,Histone H2A,-,"Histone,Histone_H2A_C"
Dnig.1LG0002370.1,4,FBpp0078066,ppl,pumpless,XP_012261848.1,sp|Q9U616|GCSH_DROME,The H protein shuttles the methylamine group of glycine from the P protein to the T protein,GCSH,GCV_H
Dnig.1LG0002430.1,19,FBpp0080450,BuGZ,Bub3 interacting GLEBS and Zinc finger domain protein,XP_023716138.1,sp|Q7ZXV8|ZN207_XENLA,Metal ion binding,ZNF207,-
Dnig.1LG0002460.1,8,FBpp0288686,CG32448,No description,XP_021916326.1,sp|Q502E5|SMIM8_DANRE,Domain of unknown function (DUF4500),Smim8,DUF4500
Dnig.1LG0002560.1,8,FBpp0077983,CG10584,No description,XP_021916531.1,sp|Q8R1C6|MET22_MOUSE,Lysine methyltransferase,METTL22,Methyltransf_16
Dnig.1LG0002600.1,16,FBpp0099793,nrv2,nervana 2,CAD7462944.1,sp|Q24048|ATPB2_DROME,It is involved in the biological process described with,nrv2,Na_K-ATPase
Dnig.1LG0002610.1,18,,,,,,,,
Dnig.1LG0002620.1,8,FBpp0304645,nrv2,nervana 2,AHH35012.1,sp|Q24048|ATPB2_DROME,Sodium / potassium ATPase beta chain,ATP1B2,Na_K-ATPase
Dnig.1LG0002640.1,17,FBpp0080972,sky,skywalker,XP_021927978.1,sp|Q9VIH7|SKY_DROME,Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity,TBC1D24,"RabGAP-TBC,TLD"
Dnig.1LG0002680.1,3,FBpp0085963,stau,staufen,XP_023713964.1,sp|Q3L1C9|STAUH_APLCA,Staufen C-terminal domain,STAU1,"Staufen_C,dsrm"
Dnig.1LG0002710.1,2,FBpp0079634,Bug22,Basal body up regulated gene 22,PSN33084.1,sp|Q8BTU1|CFA20_MOUSE,Protein of unknown function (DUF667),CFAP20,DUF667
Dnig.1LG0002720.1,5,FBpp0099391,capt,capulet,XP_012149225.1,sp|Q01518|CAP1_HUMAN,Adenylyl cyclase-associated protein,CAP1,"CAP_C,CAP_N"
Dnig.1LG0002730.1,18,FBpp0086892,CG13326,No description,XP_015186826.1,sp|Q5W041|ARMC3_HUMAN,Ethylene-responsive protein kinase Le-CTR1,ARMC3,"Arm,EDR1,HEAT_2"
Dnig.1LG0002740.1,7,,,,,,,,
Dnig.1LG0002850.1,12,FBpp0084452,CG31075,No description,CAD7264625.1,sp|Q7ZVB2|A9A1A_DANRE,4-trimethylammoniobutyraldehyde dehydrogenase activity,ALDH9A1,Aldedh
Dnig.1LG0002860.1,5,FBpp0306940,CG6000,No description,XP_034244033.1,sp|Q9D0B5|TSTD3_MOUSE,Heat shock protein,TSTD3,Rhodanese
Dnig.1LG0002870.1,7,FBpp0081609,Mpi,Mannose phosphate isomerase,CAD7588912.1,sp|Q3SZI0|MPI_BOVIN,mannose-6-phosphate isomerase,MPI,PMI_typeI
Dnig.1LG0002890.1,7,FBpp0084501,CG6066,No description,XP_023703034.1,sp|Q9VB74|NKAP_DROME,UPF0396 protein CG6066-like,NKAP,"NKAP,SynMuv_product"
Dnig.1LG0002930.1,8,FBpp0088009,Gdap2,Gdap2,XP_021927619.1,sp|Q7JUR6|GDAP2_DROME,Ganglioside induced differentiation associated protein,GDAP2,"CRAL_TRIO_2,Macro"
Dnig.1LG0002940.1,14,FBpp0078319,Hat1,Histone acetyltransferase 1,XP_033610048.1,sp|Q8BY71|HAT1_MOUSE,Histone acetyltransferase activity. It is involved in the biological process described with,HAT1,Hat1_N
Dnig.1LG0003010.1,17,FBpp0291601,CG17691,No description,KAG8233273.1,sp|P21839|ODBB_BOVIN,catalytic activity. It is involved in the biological process described with metabolic process,BCKDHB,"Transket_pyr,Transketolase_C"
Dnig.1LG0003030.1,6,FBpp0070964,bou,boudin,CAD7603344.1,,-,-,-
Dnig.1LG0003080.1,2,FBpp0079448,Pka-C1,"Protein kinase, cAMP-dependent, catalytic subunit 1",QVD39237.1,sp|P12370|KAPC1_DROME,It is involved in the biological process described with protein phosphorylation,PRKACB,Pkinase
Dnig.1LG0003110.1,6,FBpp0303187,Tl,Toll,BBG28448.1,sp|P08953|TOLL_DROME,Leucine rich repeat N-terminal domain,Tl,"LRRNT,LRR_5,LRR_8,TIR"
Dnig.1LG0003120.1,8,FBpp0290161,Lerp,lysosomal enzyme receptor protein,CAD7395929.1,sp|P11717|MPRI_HUMAN,,,
Dnig.1LG0003130.1,17,FBpp0083575,how,held out wings,XP_021942375.1,sp|O01367|HOW_DROME,RNA binding,QKI,"KH_1,Quaking_NLS,STAR_dimer"
Dnig.1LG0003140.1,19,FBpp0312062,pit,pitchoune,QOS47378.1,sp|Q9VD51|DDX18_DROME,DUF4217,DDX18,"DEAD,DUF4217,Helicase_C"
Dnig.1LG0003150.1,15,FBpp0305589,Pex10,Peroxin 10,XP_023708569.1,sp|O60683|PEX10_HUMAN,biogenesis factor 10,PEX10,"Pex2_Pex12,zf-C3HC4_3,zf-RING_2"
Dnig.1LG0003180.1,18,FBpp0085082,wts,warts,XP_023726073.1,sp|Q8BYR2|LATS1_MOUSE,protein serine threonine kinase activity. It is involved in the biological process described with mitotic nuclear division,LATS1,"Pkinase,Pkinase_C,UBA"
Dnig.1LG0003190.1,15,FBpp0081683,CG11722,No description,XP_023308809.1,sp|Q9VH39|NDUF4_DROME,It is involved in the biological process described with mitochondrial respiratory chain complex I assembly,NDUFAF4,UPF0240
